Quantity 1,Description,Customer Part No.,Mouser Part Number
57,"Testpoint TH, RED",CBPN-L3UB8-TestPoint,534-5000
21,CAPACITOR 1nF 2kV,CBPN-B5DZY-1nF,80-C1210C102KGRAC
50,UVY1E102MPD1TD,UVY1E102MPD1TD,UVY1E102MPD1TD
76,4.7k 1210,CBPN-5Z102-47k,71-CRCW12104K70FKEAH
9,1987724,1987724,1987724
124,100nF 100V,CBPN-JMGYO-100nF,80-C1210C104K1RAC
38,10nF 500V,CBPN-FZHK8-10nF,187-CL32B103KGFNNNE
7,5-106505-2,5-106505-2,5-106505-2
4,1548129,1548129,1548129
3,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003,ACT45B-101-2P-TL003
3,LTST-C230CKT,LTST-C230CKT,LTST-C230CKT
73,5442251,5442251,5442251
20,4 Pin Keyed Fan Conn,CBPN-DLNHZ-4PinFanHeaderMaleKeyed,538-47053-3000
1,2.54mm 2pin 1row male,CBPN-LNT3S-conn01x02pin,538-22-28-4022
8,220 1210,CBPN-SZ7LV-220,603-RC1210FR-07220RL
5,TXB0104DR,TXB0104DR,TXB0104DR
3,RKE-1205S_H,RKE-1205S_H,RKE-1205S_H
15,22pF 50V,CBPN-XGV7B-22pF,80-C1210C220J5G
7,LTST-C230GKT,LTST-C230GKT,LTST-C230GKT
28,10uF 25V,CBPN-Z2OBH-10uF,187-CL32A106KAULNNE
3,ISO1042BDWVR,ISO1042BDWVR,ISO1042BDWVR
4,RFMM-0505S,RFMM-0505S,RFMM-0505S
2,R-78K3.3-1.0,R-78K3.3-1.0,R-78K3.3-1.0
2,L717SDB25PA4CH3R,L717SDB25PA4CH3R,L717SDB25PA4CH3R
3,2.54mm jumper,CBPN-CSKX4-254mmJumper,5-146277-2
1,ADS8688AIDBT,ADS8688AIDBT,ADS8688AIDBT
3,8mhz hc49-4h crystal,CBPN-QQUPE-8mhz,710-830003156B
5,1k 1210,CBPN-F0NOB-1k,603-RC1210FR-071KL
3,120 1210,CBPN-K6UIE-120,603-AC1210FR-07120RL
3,MCP2515-e_ST,MCP2515-e_ST,MCP2515-e_ST
24,"SSM3K361R,LF","SSM3K361R,LF","SSM3K361R,LF"
36,1uf 50V,CBPN-6J4DK-1uf,187-CL32B105KBHNNNE
19,0 1210,CBPN-VZZ88-0,603-AC1210JR-070RL
12,10k 1210,CBPN-B3D5Z-10k,603-AC1210JR-0710KL
4,SZMMSZ4678T1G,SZMMSZ4678T1G,SZMMSZ4678T1G
4,TLV6001QDCKRQ1,TLV6001QDCKRQ1,TLV6001QDCKRQ1
5,FBMJ1608HS220NTR,FBMJ1608HS220NTR,FBMJ1608HS220NTR
8,16.5k 1210,CBPN-HFQ0L-165k,603-RC1210FR-0716K5L
4,AMC3330QDWERQ1,AMC3330QDWERQ1,AMC3330QDWERQ1
2,2.54mm 10pin 1row male,CBPN-0H6BJ-conn01x10pin,538-22-28-4102
6,38969-0002,38969-0002,38969-0002
6,RC2512JK-071ML,RC2512JK-071ML,RC2512JK-071ML
32,ALH82A750CB600,ALH82A750CB600,ALH82A750CB600
4,1SMB2EZ15_R1_00001,1SMB2EZ15_R1_00001,1SMB2EZ15_R1_00001
16,B32652A0104K000,B32652A0104K000,B32652A0104K000
8,B32774X0205K000,B32774X0205K000,B32774X0205K000
1,10 1210,CBPN-37I0G-10,603-RC1210JR-0710RL
1,60.4k 1210,CBPN-6M36U-60k,603-RC1210FR-0760K4L
1,FZ400R12KE4,FZ400R12KE4,FZ400R12KE4
1,470pF 1000V,CBPN-R77C0-470pF,77-VJ1210Y471KXGTWHV
27,1SMB5956BT3G,1SMB5956BT3G,1SMB5956BT3G
1,MMSZ5231B-TP,MMSZ5231B-TP,MMSZ5231B-TP
2,LM358DR,LM358DR,LM358DR
1,1 1210,CBPN-8O1G9-1,603-RC1210JR-071RL
7,C4AQNBW5200M3LJ,C4AQNBW5200M3LJ,C4AQNBW5200M3LJ
1,UCC27424QDRQ1,UCC27424QDRQ1,UCC27424QDRQ1
1,ACS758ECB-200U-PFF,ACS758ECB-200U-PFF,ACS758ECB-200U-PFF
16,1M 1210,CBPN-3OLMP-1m,603-RC1210FR-071ML
8,ACS772ECB-400B-PFF-T,ACS772ECB-400B-PFF-T,ACS772ECB-400B-PFF-T
2,1x10 2.54mm socket,CBPN-C668G-conn01x10socket,538-90147-1110
6,10pF 1210,CBPN-ULXI9-10pf,581-12101U100JAT2A
8,100 1210,CBPN-KHUMA-100,603-RC1210FR-07100RL
1,MBRA340T3G,MBRA340T3G,MBRA340T3G
1,2.2nF 1210,CBPN-BDEDI-22nf,80-C1210C222K1HAUTO
2,S3N,S3N,S3N
2,1.5 1210,CBPN-8QJGQ-15,603-AC1210FR-7W1R5L
8,100pF 1210,CBPN-UPTUR-100pf,80-C1210C101K3HACTU
1,UCC5870QDWJRQ1,UCC5870QDWJRQ1,UCC5870QDWJRQ1
1,BAT54WS-7-F,BAT54WS-7-F,BAT54WS-7-F
1,REC10K-2415SAW_H2,REC10K-2415SAW_H2,REC10K-2415SAW_H2
2,4.7uF 1210,CBPN-66ZXX-47uf,187-CL32B475KBUYNNE
1,REC10K-2409SAW_H2,REC10K-2409SAW_H2,REC10K-2409SAW_H2
