"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP23,TP9,TP10,TP27,TP24,TP21,TP25,TP20,TP8,TP15,TP19,TP11,TP12,TP7,TP26,TP17,TP28,TP13,TP18,TP16,TP22,TP14";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";22;"TestPoint";;;
2;"C103,C100,C109,C97,C115,C106,C112,C35";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";8;"1nF";;;
3;"C39,C60,C64,C63,C47,C55,C59,C52,C48,C49,C53,C51,C62,C42,C43,C57,C45,C54,C37,C41,C40,C50,C38,C56,C61,C44,C58,C46";"CAPPRD500W60D1025H1750";28;"UVY1E102MPD1TD";;;
4;"R69,R59,R77,R75,R1,R66,R61,R67,R74,R68,R70,R78,R73,R76,R71,R72";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";16;"4.7k";;;
5;"J16,J15";"1987724";2;"1987724";;;
6;"C73,C85,C72,C77,C117,C89,C111,C87,C65,C84,C83,C69,C105,C79,C108,C102,C82,C99,C80,C88,C74,C70,C76,C78,C81,C75,C92,C114,C96";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";29;"100nF";;;
7;"C107,C98,C104,C110,C101,C116,C36,C113";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";8;"10nF";;;
8;"J11,J13,J10,J4,J12,J14";"5-106505-2_3";6;"5-106505-2";;;
9;"J17,J3";"1548129";2;"1548129";;;
10;"FL1";"ACT45B1012PTL003";1;"ACT45B-101-2P-TL003";;;
11;"LED1";"LEDC3216X120N";1;"LTST-C230CKT";;;
12;"A1";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
13;"J5,J7,J24,J8,J9";"5442251";5;"5442251";;;
14;"M4,M3,M5,M1,M6,M7,M8,M2";"FanPinHeader_1x04_P2.54mm_Vertical";8;"Fan_4pin";;;
15;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
16;"R62,R63,R64";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";3;"220";;;
17;"IC1,IC5,IC8,IC4,IC7";"SOIC127P600X175-14N";5;"TXB0104DR";;;
18;"PS1";"RKE1205SH";1;"RKE-1205S_H";;;
19;"C93,C68,C67,C94,C95";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"22pF";;;
20;"LED2,LED3,LED4";"LEDC3216X120N";3;"LTST-C230GKT";;;
21;"C66,C86,C91,C71,C90";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";5;"10uF";;;
22;"IC3";"SOIC127P1150X280-8N";1;"ISO1042BDWVR";;;
23;"PS3";"RFMM0505S";1;"RFMM-0505S";;;
24;"PS2";"R78K3310";1;"R-78K3.3-1.0";;;
25;"J6";"L717SDB25PA4CH3R";1;"L717SDB25PA4CH3R";;;
26;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
27;"IC2";"SOP50P640X120-38M";1;"ADS8688AIDBT";;;
28;"Y1";"Crystal_HC49-4H_Vertical";1;"8MHz";;;
29;"R65";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"1k";;;
30;"R60";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";1;"120";;;
31;"IC6";"SOP65P640X120-20N";1;"MCP2515-e_ST";;;
